"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"292","Folkestone and Hythe","Non-metropolitan District",5575,6425,5981,5541,5432,6174,6018,6259,6130,7784,8488,8077,7164,7548,7795,4923,3493,3771
"293","Gravesham","Non-metropolitan District",7159,7230,6906,6134,5502,6641,7227,7010,6530,7635,7474,6943,5544,4943,4815,3455,2754,2483
"294","Maidstone","Non-metropolitan District",10707,10998,10216,9006,8597,10303,11022,11260,10349,12074,12659,10995,9206,8729,9053,5973,4549,4259
"295","Sevenoaks","Non-metropolitan District",6913,8127,7777,6384,5112,5817,6155,7455,7880,8609,9268,8146,6866,6904,6979,4614,3561,3726
"296","Swale","Non-metropolitan District",9188,9923,9211,8229,8193,9113,9045,9280,8376,10043,11101,9813,8630,8068,8279,5226,3553,3248
"297","Thanet","Non-metropolitan District",8114,8776,8467,7560,7423,7770,7846,7996,7376,9041,9788,9522,8914,9032,9332,6076,4345,4441
"298","Tonbridge and Malling","Non-metropolitan District",7799,8598,8551,7830,6250,7037,7137,8233,8616,9968,10039,8762,7151,6468,6818,4664,3496,3091
"299","Tunbridge Wells","Non-metropolitan District",6371,7748,8137,6874,4931,5685,6956,7775,7988,9315,9368,7804,6493,5883,5954,4036,3038,3698
"300","Oxfordshire","County",39398,42783,40453,40021,49678,44772,43131,45310,41766,46432,48411,43672,36270,33692,33070,23221,17597,17847
"301","Cherwell","Non-metropolitan District",9332,9687,9095,7945,6802,8321,10374,10932,9695,10685,11215,9956,8163,7565,7034,4964,3782,3614
"302","Oxford","Non-metropolitan District",8348,9015,8399,11614,25949,15781,9763,9781,8023,7788,8097,7025,5977,5272,4633,3365,2559,2938
"303","South Oxfordshire","Non-metropolitan District",7938,8835,8611,7532,5942,7124,7828,8903,8925,10621,11065,9752,8106,7475,7940,5618,4242,4047
"304","Vale of White Horse","Non-metropolitan District",7937,8274,8031,7338,6213,7360,8590,8775,8605,9426,9752,9132,7535,7134,7125,4871,3811,3823
"305","West Oxfordshire","Non-metropolitan District",5843,6972,6317,5592,4772,6186,6576,6919,6518,7912,8282,7807,6489,6246,6338,4403,3203,3425
"306","Surrey","County",70074,77727,73352,67525,64420,65176,65459,78598,82700,87542,89071,79245,64318,58281,58417,40641,32255,35133
"307","Elmbridge","Non-metropolitan District",9118,10473,9285,7471,5099,5285,6270,9457,10905,11092,10725,9420,7041,6483,6342,4364,3597,4199
"308","Epsom and Ewell","Non-metropolitan District",5102,5464,4981,4791,3905,4075,4398,5541,5829,5969,5921,5247,4053,3968,3786,2717,2063,2118
"309","Guildford","Non-metropolitan District",7438,8757,8530,9606,14373,11915,8910,8857,9135,9746,9894,8790,7456,6574,6485,4337,3413,3673
"310","Mole Valley","Non-metropolitan District",4239,5120,5248,4783,3653,3877,3855,4714,5572,6454,7210,6635,5571,5033,5404,3696,2991,3198
"311","Reigate and Banstead","Non-metropolitan District",9451,10112,9114,7677,6499,8137,8997,10878,10811,10775,11133,9607,7845,7084,6983,4673,3629,4352
"312","Runnymede","Non-metropolitan District",4917,4945,4570,5443,8350,7317,5331,5323,5499,5692,5967,5418,4365,3780,3858,2696,2239,2290
